"type","game_id","home_team","away_team","week","season","state_of_game","game_url","home_score","away_score","home_longitude","home_latitude","away_longitude","away_latitude","travel"
"reg","2019101304","KC","HOU",6,2019,"PRE","http://www.nfl.com/liveupdate/game-center/2019101304/2019101304_gtd.json",NA,NA,-94.48388,39.04895,-95.41092,29.68493,1298
"reg","2019101303","JAX","NO",6,2019,"PRE","http://www.nfl.com/liveupdate/game-center/2019101303/2019101303_gtd.json",NA,NA,-81.6369,30.32387,-90.08128,29.95116,1010
"reg","2019101302","CLE","SEA",6,2019,"PRE","http://www.nfl.com/liveupdate/game-center/2019101302/2019101302_gtd.json",NA,NA,-81.69962,41.50618,-122.33165,47.59476,4038
"reg","2019101301","BAL","CIN",6,2019,"PRE","http://www.nfl.com/liveupdate/game-center/2019101301/2019101301_gtd.json",NA,NA,-76.6227,39.2779,-84.51623,39.09532,846
"reg","2019101308","LA","SF",6,2019,"PRE","http://www.nfl.com/liveupdate/game-center/2019101308/2019101308_gtd.json",NA,NA,-118.2879,34.0141,-122.38673,37.71399,686
"reg","2019101307","ARI","ATL",6,2019,"PRE","http://www.nfl.com/liveupdate/game-center/2019101307/2019101307_gtd.json",NA,NA,-112.25876,33.52713,-84.40121,33.75735,3194
"reg","2019101310","NYJ","DAL",6,2019,"PRE","http://www.nfl.com/liveupdate/game-center/2019101310/2019101310_gtd.json",NA,NA,-74.0745,40.8135,-97.09277,32.74778,2768
"reg","2019101309","DEN","TEN",6,2019,"PRE","http://www.nfl.com/liveupdate/game-center/2019101309/2019101309_gtd.json",NA,NA,-105.02028,39.74396,-86.77252,36.16654,2044
"reg","2019101311","LAC","PIT",6,2019,"PRE","http://www.nfl.com/liveupdate/game-center/2019101311/2019101311_gtd.json",NA,NA,-118.2611,33.8644,-80.01574,40.44673,4272
"reg","2019101400","GB","DET",6,2019,"PRE","http://www.nfl.com/liveupdate/game-center/2019101400/2019101400_gtd.json",NA,NA,-88.06223,44.50117,-83.04564,42.34005,584
"reg","2019101700","DEN","KC",7,2019,"PRE","http://www.nfl.com/liveupdate/game-center/2019101700/2019101700_gtd.json",NA,NA,-105.02028,39.74396,-94.48388,39.04895,1128
"reg","2019102001","BUF","MIA",7,2019,"PRE","http://www.nfl.com/liveupdate/game-center/2019102001/2019102001_gtd.json",NA,NA,-78.78679,42.77379,-80.23889,25.95801,2328
"reg","2019102002","CIN","JAX",7,2019,"PRE","http://www.nfl.com/liveupdate/game-center/2019102002/2019102002_gtd.json",NA,NA,-84.51623,39.09532,-81.6369,30.32387,1254
"reg","2019102003","DET","MIN",7,2019,"PRE","http://www.nfl.com/liveupdate/game-center/2019102003/2019102003_gtd.json",NA,NA,-83.04564,42.34005,-93.25848,44.97401,1082
"reg","2019102004","GB","OAK",7,2019,"PRE","http://www.nfl.com/liveupdate/game-center/2019102004/2019102004_gtd.json",NA,NA,-88.06223,44.50117,-122.1999,37.75233,3644
"reg","2019102000","ATL","LA",7,2019,"PRE","http://www.nfl.com/liveupdate/game-center/2019102000/2019102000_gtd.json",NA,NA,-84.40121,33.75735,-118.2879,34.0141,3868
"reg","2019102005","IND","HOU",7,2019,"PRE","http://www.nfl.com/liveupdate/game-center/2019102005/2019102005_gtd.json",NA,NA,-86.16361,39.76,-95.41092,29.68493,1740
"reg","2019102007","WAS","SF",7,2019,"PRE","http://www.nfl.com/liveupdate/game-center/2019102007/2019102007_gtd.json",NA,NA,-76.86444,38.90778,-122.38673,37.71399,4884
"reg","2019102006","NYG","ARI",7,2019,"PRE","http://www.nfl.com/liveupdate/game-center/2019102006/2019102006_gtd.json",NA,NA,-74.0745,40.8135,-112.25876,33.52713,4286
"reg","2019102008","TEN","LAC",7,2019,"PRE","http://www.nfl.com/liveupdate/game-center/2019102008/2019102008_gtd.json",NA,NA,-86.77252,36.16654,-118.2611,33.8644,3560
"reg","2019102009","CHI","NO",7,2019,"PRE","http://www.nfl.com/liveupdate/game-center/2019102009/2019102009_gtd.json",NA,NA,-87.6167,41.8623,-90.08128,29.95116,1668
"reg","2019102010","SEA","BAL",7,2019,"PRE","http://www.nfl.com/liveupdate/game-center/2019102010/2019102010_gtd.json",NA,NA,-122.33165,47.59476,-76.6227,39.2779,4654
"reg","2019102011","DAL","PHI",7,2019,"PRE","http://www.nfl.com/liveupdate/game-center/2019102011/2019102011_gtd.json",NA,NA,-97.09277,32.74778,-75.16729,39.90147,2624
"reg","2019102100","NYJ","NE",7,2019,"PRE","http://www.nfl.com/liveupdate/game-center/2019102100/2019102100_gtd.json",NA,NA,-74.0745,40.8135,-71.26491,42.09188,340
"reg","2019102400","MIN","WAS",8,2019,"PRE","http://www.nfl.com/liveupdate/game-center/2019102400/2019102400_gtd.json",NA,NA,-93.25848,44.97401,-76.86444,38.90778,1876
"reg","2019102700","ATL","SEA",8,2019,"PRE","http://www.nfl.com/liveupdate/game-center/2019102700/2019102700_gtd.json",NA,NA,-84.40121,33.75735,-122.33165,47.59476,4352
"reg","2019102708","TEN","TB",8,2019,"PRE","http://www.nfl.com/liveupdate/game-center/2019102708/2019102708_gtd.json",NA,NA,-86.77252,36.16654,-82.50349,27.97884,1236
"reg","2019102707","NO","ARI",8,2019,"PRE","http://www.nfl.com/liveupdate/game-center/2019102707/2019102707_gtd.json",NA,NA,-90.08128,29.95116,-112.25876,33.52713,2646
"reg","2019102706","LA","CIN",8,2019,"PRE","http://www.nfl.com/liveupdate/game-center/2019102706/2019102706_gtd.json",NA,NA,-118.2879,34.0141,-84.51623,39.09532,0
"reg","2019102705","JAX","NYJ",8,2019,"PRE","http://www.nfl.com/liveupdate/game-center/2019102705/2019102705_gtd.json",NA,NA,-81.6369,30.32387,-74.0745,40.8135,1678
"reg","2019102701","BUF","PHI",8,2019,"PRE","http://www.nfl.com/liveupdate/game-center/2019102701/2019102701_gtd.json",NA,NA,-78.78679,42.77379,-75.16729,39.90147,546
"reg","2019102702","CHI","LAC",8,2019,"PRE","http://www.nfl.com/liveupdate/game-center/2019102702/2019102702_gtd.json",NA,NA,-87.6167,41.8623,-118.2611,33.8644,3498
"reg","2019102703","DET","NYG",8,2019,"PRE","http://www.nfl.com/liveupdate/game-center/2019102703/2019102703_gtd.json",NA,NA,-83.04564,42.34005,-74.0745,40.8135,950
"reg","2019102704","HOU","OAK",8,2019,"PRE","http://www.nfl.com/liveupdate/game-center/2019102704/2019102704_gtd.json",NA,NA,-95.41092,29.68493,-122.1999,37.75233,3260
"reg","2019102709","SF","CAR",8,2019,"PRE","http://www.nfl.com/liveupdate/game-center/2019102709/2019102709_gtd.json",NA,NA,-122.38673,37.71399,-80.85331,35.22584,4588
"reg","2019102711","NE","CLE",8,2019,"PRE","http://www.nfl.com/liveupdate/game-center/2019102711/2019102711_gtd.json",NA,NA,-71.26491,42.09188,-81.69962,41.50618,1076
"reg","2019102710","IND","DEN",8,2019,"PRE","http://www.nfl.com/liveupdate/game-center/2019102710/2019102710_gtd.json",NA,NA,-86.16361,39.76,-105.02028,39.74396,1998
"reg","2019102712","KC","GB",8,2019,"PRE","http://www.nfl.com/liveupdate/game-center/2019102712/2019102712_gtd.json",NA,NA,-94.48388,39.04895,-88.06223,44.50117,1002
"reg","2019102800","PIT","MIA",8,2019,"PRE","http://www.nfl.com/liveupdate/game-center/2019102800/2019102800_gtd.json",NA,NA,-80.01574,40.44673,-80.23889,25.95801,2002
"reg","2019103100","ARI","SF",9,2019,"PRE","http://www.nfl.com/liveupdate/game-center/2019103100/2019103100_gtd.json",NA,NA,-112.25876,33.52713,-122.38673,37.71399,1274
"reg","2019110300","JAX","HOU",9,2019,"PRE","http://www.nfl.com/liveupdate/game-center/2019110300/2019110300_gtd.json",NA,NA,-81.6369,30.32387,-95.41092,29.68493,0
"reg","2019110305","PHI","CHI",9,2019,"PRE","http://www.nfl.com/liveupdate/game-center/2019110305/2019110305_gtd.json",NA,NA,-75.16729,39.90147,-87.6167,41.8623,1326
"reg","2019110306","PIT","IND",9,2019,"PRE","http://www.nfl.com/liveupdate/game-center/2019110306/2019110306_gtd.json",NA,NA,-80.01574,40.44673,-86.16361,39.76,656
"reg","2019110304","MIA","NYJ",9,2019,"PRE","http://www.nfl.com/liveupdate/game-center/2019110304/2019110304_gtd.json",NA,NA,-80.23889,25.95801,-74.0745,40.8135,2170
